[(24, 'the'
, (22, 'to'
, (16, 'Featured'
, (15, '5'
, (14, 'in'
, (11, 'for'
, (10, 'of'
, (10, 'its'
, (10, 'Jun'
, (10, 'GDEX'
, (9, '06'
, (8, 'earnings'
, (8, 'and'
, (8, 'a'
, (8, 'The'
, (8, 'News'
, (8, 'Edge'
, (8, '04'
, (7, 'with'
, (7, 'on'
, (7, 'Evening'
, (6, 's'
, (6, 'prospects'
, (6, 'million'
, (6, 'by'
, (6, '2021'
, (5, 'said'
, (5, 'higher'
, (5, 'growth'
, (5, '09'
, (4, 'stronger'
, (4, 'it'
, (4, 'from'
, (4, 'e'
, (4, 'active'
, (4, 'RHB'
, (4, 'Morning'
, (4, 'EVENING'
, (4, 'Call'
, (4, '6'
, (4, '3'
, (3, 'was'
, (3, 'volume'
, (3, 'top'
, (3, 'times'
, (3, 'strong'
, (3, 'shares'
, (3, 'sen'
, (3, 'search'
, (3, 'research'
, (3, 'positive'
, (3, 'day'
, (3, 'commerce'
, (3, 'category'
, (3, 'Us'
, (3, 'Serba'
, (3, 'Searching'
, (3, 'May'
, (3, 'Malaysia'
, (3, 'MORNING'
, (3, 'Dinamik'
, (3, 'Covid'
, (3, 'CALL'
, (3, 'A'
, (3, '31'
, (3, '30am'
, (3, '21'
, (3, '20'
, (3, '19'
, (3, '03'
, (3, '02'
, (3, '01'
, (2, 'words'
, (2, 'will'
, (2, 'up'
, (2, 'towards'
, (2, 'theedgemarkets'
, (2, 'take'
, (2, 'surges'
, (2, 'space'
, (2, 'some'
, (2, 'revenue'
, (2, 'owned'
, (2, 'over'
, (2, 'opportunities'
, (2, 'lower'
, (2, 'last'
, (2, 'is'
, (2, 'hand'
, (2, 'group'
, (2, 'going'
, (2, 'further'
, (2, 'expansion'
, (2, 'due'
, (2, 'demand'
, (2, 'delivery'
, (2, 'compared'
, (2, 'com'
, (2, 'business'
, (2, 'banking'
, (2, 'author'
, (2, 'associate'
, (2, 'as'
, (2, 'Top'
, (2, 'Research'
, (2, 'PE'
, (2, 'NEWS'
, (2, 'Most'
, (2, 'MORE'
, (2, 'In'
, (2, 'Home'
, (2, 'HSBC'
, (2, 'Friday'
, (2, 'Express'
, (2, 'Date'
, (2, 'DETAILS'
, (2, 'Bhd'
, (2, 'Asean'
, (2, '43'
, (2, '4'
, (2, '38'
, (2, '30pm'
, (2, '22F'
, (2, '22'
, (2, '2020'
, (2, '2'
, (2, '15pm'
, (2, '1'
, (2, '07pm'
, (2, ''
, (1, ''
, (1, ''
, (1, 'your'
, (1, 'year'
, (1, 'wong'
, (1, 'while'
, (1, 'whereas'
, (1, 'well'
, (1, 'vs'
, (1, 'view'
, (1, 'vehicles'
, (1, 'valuation'
, (1, 'vaccine'
, (1, 'vaccinated'
, (1, 'use'
