[(42, 'By'
, (40, 'the'
, (39, 'Digital'
, (38, '2021'
, (33, 'Asia'
, (32, 'News'
, (26, 'to'
, (26, 'in'
, (19, 'of'
, (18, 'Malaysia'
, (15, '11'
, (14, 's'
, (14, 'a'
, (14, 'Pos'
, (14, 'June'
, (11, 'May'
, (11, '2020'
, (10, 'e'
, (10, 'by'
, (10, 'and'
, (9, 'online'
, (8, 'for'
, (8, 'commerce'
, (8, '4'
, (7, 'is'
, (7, 'from'
, (7, 'View'
, (7, 'US'
, (7, 'More'
, (7, 'Laju'
, (6, 'with'
, (6, 'parcels'
, (6, 'million'
, (6, 'its'
, (6, 'during'
, (6, 'March'
, (6, 'April'
, (6, '2018'
, (6, '10'
, (6, '1'
, (5, 'record'
, (5, 'new'
, (5, 'as'
, (5, 'Centre'
, (5, '3'
, (5, '19'
, (4, 'sale'
, (4, 'purchases'
, (4, 'on'
, (4, 'network'
, (4, 'digital'
, (4, 'Yapp'
, (4, 'The'
, (4, 'Syed'
, (4, 'Md'
, (4, 'MCMC'
, (4, 'Edwin'
, (4, '5G'
, (3, 'year'
, (3, 'will'
, (3, 'transformation'
, (3, 'single'
, (3, 'shopping'
, (3, 'region'
, (3, 'programme'
, (3, 'off'
, (3, 'next'
, (3, 'more'
, (3, 'launches'
, (3, 'items'
, (3, 'into'
, (3, 'have'
, (3, 'billion'
, (3, 'Parcel'
, (3, 'January'
, (3, 'Integrated'
, (3, 'IPC'
, (3, 'Get'
, (3, 'DigitalInfrastructure'
, (3, 'Digerati50'
, (3, '30'
, (3, '27'
, (3, '2'
, (3, '18'
, (3, '000'
, (2, 'wholesale'
, (2, 'was'
, (2, 'volume'
, (2, 'us'
, (2, 'that'
, (2, 'system'
, (2, 'series'
, (2, 'rise'
, (2, 'ready'
, (2, 'player'
, (2, 'or'
, (2, 'middle'
, (2, 'market'
, (2, 'major'
, (2, 'it'
, (2, 'investment'
, (2, 'introduces'
, (2, 'has'
, (2, 'handles'
, (2, 'form'
, (2, 'expansion'
, (2, 'executive'
, (2, 'enhance'
, (2, 'doubling'
, (2, 'distributed'
, (2, 'devices'
, (2, 'daily'
, (2, 'collaborate'
, (2, 'charts'
, (2, 'breaking'
, (2, 'be'
, (2, 'another'
, (2, 'announces'
, (2, 'accelerate'
, (2, 'Testing'
, (2, 'Temasek'
, (2, 'Tan'
, (2, 'Startups'
, (2, 'Software'
, (2, 'Singh'
, (2, 'Shah'
, (2, 'Search'
, (2, 'Report'
, (2, 'Noor'
, (2, 'National'
, (2, 'Najib'
, (2, 'Malaysian'
, (2, 'MaGIC'
, (2, 'MDEC'
, (2, 'Leong'
, (2, 'Kaya'
, (2, 'Karamjit'
, (2, 'July'
, (2, 'Google'
, (2, 'Foong'
, (2, 'Era'
, (2, 'Economy'
, (2, 'Dr'
