[(42, 'the'
, (42, 'By'
, (38, 'Digital'
, (38, '2021'
, (32, 'Asia'
, (31, 'News'
, (27, 'in'
, (25, 'to'
, (19, 'Malaysia'
, (18, 'of'
, (15, 's'
, (14, 'Pos'
, (14, 'June'
, (14, '11'
, (13, 'a'
, (12, '2020'
, (10, 'e'
, (10, 'by'
, (10, 'and'
, (10, 'May'
, (8, 'online'
, (8, 'commerce'
, (8, 'US'
, (8, 'March'
, (8, '4'
, (7, 'is'
, (7, 'from'
, (7, 'for'
, (7, 'View'
, (7, 'More'
, (7, 'Laju'
, (7, '3'
, (7, '1'
, (6, 'parcels'
, (6, 'million'
, (6, 'its'
, (6, 'during'
, (6, 'April'
, (6, '2018'
, (6, '10'
, (5, 'with'
, (5, 'record'
, (5, 'new'
, (5, 'as'
, (4, 'sale'
, (4, 'purchases'
, (4, 'network'
, (4, 'Yapp'
, (4, 'Syed'
, (4, 'Md'
, (4, 'MCMC'
, (4, 'Edwin'
, (4, '5G'
, (4, '19'
, (3, 'year'
, (3, 'will'
, (3, 'single'
, (3, 'shopping'
, (3, 'series'
, (3, 'region'
, (3, 'programme'
, (3, 'on'
, (3, 'off'
, (3, 'next'
, (3, 'more'
, (3, 'items'
, (3, 'it'
, (3, 'into'
, (3, 'have'
, (3, 'digital'
, (3, 'billion'
, (3, 'at'
, (3, 'The'
, (3, 'Tan'
, (3, 'Startups'
, (3, 'Parcel'
, (3, 'MDEC'
, (3, 'Integrated'
, (3, 'IPC'
, (3, 'Get'
, (3, 'DigitalInfrastructure'
, (3, 'Digerati50'
, (3, 'Centre'
, (3, '30'
, (3, '27'
, (3, '24'
, (3, '2'
, (3, '000'
, (2, 'wholesale'
, (2, 'was'
, (2, 'volume'
, (2, 'us'
, (2, 'transformation'
, (2, 'that'
, (2, 'rise'
, (2, 'ready'
, (2, 'raises'
, (2, 'player'
, (2, 'or'
, (2, 'middle'
, (2, 'market'
, (2, 'major'
, (2, 'league'
, (2, 'launches'
, (2, 'investment'
, (2, 'has'
, (2, 'handles'
, (2, 'funding'
, (2, 'form'
, (2, 'expansion'
, (2, 'executive'
, (2, 'enhance'
, (2, 'doubling'
, (2, 'distributed'
, (2, 'daily'
, (2, 'collaborate'
, (2, 'charts'
, (2, 'breaking'
, (2, 'be'
, (2, 'another'
, (2, 'announces'
, (2, 'accelerate'
, (2, 'Yee'
, (2, 'Ventures'
, (2, 'UI'
, (2, 'Testing'
, (2, 'Temasek'
, (2, 'Software'
, (2, 'Singh'
, (2, 'Shah'
, (2, 'Search'
, (2, 'Report'
, (2, 'Noor'
, (2, 'National'
, (2, 'Najib'
, (2, 'Malaysian'
, (2, 'MaGIC'
, (2, 'Leong'
, (2, 'Kaya'
, (2, 'Karamjit'
, (2, 'July'
, (2, 'Jee'
, (2, 'January'
, (2, 'Google'
, (2, 'Foong'
, (2, 'Era'
, (2, 'Economy'
, (2, 'Dr'
, (2, 'Cyberlaw'
, (2, 'Covid'
, (2, 'Cheng'
, (2, 'Bread'
, (2, 'Alam'
, (2, '9'
, (2, '7'
, (2, '42mil'
, (2, '31'
, (2, '28'
, (2, '26'
, (2, '25'
, (2, '2017'
, (2, '18'
, (2, ''
, (1, 'your'
, (1, 'worth'
, (1, 'world'
, (1, 'which'
, (1, 'when'
, (1, 'were'
, (1, 'well'
, (1, 'way'
, (1, 'voucher'
, (1, 'value'
, (1, 'vaccine'
, (1, 'ups'
, (1, 'updates'
, (1, 'unveils'
, (1, 'university'
, (1, 'undisclosed'
, (1, 'ultrathin'
, (1, 'trusted'
, (1, 'traffic'
, (1, 'toppled'
, (1, 'timing'
, (1, 'timed'
, (1, 'this'
, (1, 'there'
, (1, 'than'
, (1, 'test'
, (1, 'technology'
, (1, 'teams'
, (1, 'tap'
, (1, 'talent'
, (1, 'takes'
, (1, 't'
, (1, 'system'
, (1, 'swings'
, (1, 'supporting'
, (1, 'strongly'
, (1, 'stronger'
, (1, 'strong'
, (1, 'strengthened'
, (1, 'strength'
, (1, 'straight'
, (1, 'stimulus'
, (1, 'still'
, (1, 'startups'
, (1, 'start'
, (1, 'spike'
, (1, 'sorted'
, (1, 'solutions'
, (1, 'solution'
, (1, 'smartphones'
, (1, 'smartphone'
, (1, 'smart'
, (1, 'seven'
, (1, 'set'
, (1, 'selects'
, (1, 'sees'
, (1, 'seed'
, (1, 'security'
, (1, 'secures'
, (1, 'search'
, (1, 'scale'
, (1, 'say'
, (1, 'sales'
, (1, 'said'
, (1, 'room'
, (1, 'rollout'
, (1, 'revealed'
, (1, 'represent'
, (1, 'report'
, (1, 'released'
, (1, 'release'
, (1, 'registration'
, (1, 'recently'
, (1, 'recent'
, (1, 'rapidly'
, (1, 'rapid'
, (1, 'questions'
, (1, 'processing'
, (1, 'prior'
, (1, 'presence'
, (1, 'premium'
, (1, 'prediction'
, (1, 'pre'
, (1, 'powered'
, (1, 'point'
, (1, 'playing'
, (1, 'play'
, (1, 'pay'
, (1, 'partner'
, (1, 'part'
, (1, 'package'
, (1, 'out'
, (1, 'ones'
, (1, 'one'
, (1, 'onboarding'
, (1, 'omnichannel'
, (1, 'officially'
, (1, 'officer'
, (1, 'occurring'
, (1, 'number'
, (1, 'not'
, (1, 'normal'
, (1, 'no'
, (1, 'news'
, (1, 'much'
, (1, 'milestones'
, (1, 'midnight'
, (1, 'merchants'
, (1, 'members'
, (1, 'mega'
, (1, 'main'
, (1, 'made'
, (1, 'logistics'
, (1, 'life'
, (1, 'licious'
, (1, 'level'
, (1, 'left'
, (1, 'led'
, (1, 'leadership'
, (1, 'launch'
, (1, 'latest'
, (1, 'laptop'
, (1, 'kicks'
, (1, 'kick'
, (1, 'jump'
, (1, 'journey'
, (1, 'joining'
, (1, 'investments'
, (1, 'investing'
, (1, 'invest'
, (1, 'introduces'
, (1, 'international'
, (1, 'intention'
, (1, 'insurance'
, (1, 'inspection'
, (1, 'innovative'
, (1, 'infrastructure'
, (1, 'inflection'
, (1, 'indicative'
, (1, 'increasing'
, (1, 'increase'
, (1, 'inbox'
, (1, 'inaugural'
, (1, 'impact'
, (1, 'idea'
, (1, 'iPrice'
, (1, 'highest'
, (1, 'high'
, (1, 'help'
, (1, 'happy'
, (1, 'handpicked'
, (1, 'handled'
, (1, 'handle'
, (1, 'hails'
, (1, 'growth'
, (1, 'growing'
, (1, 'group'
, (1, 'gets'
, (1, 'gap'
, (1, 'gamble'
, (1, 'gambit'
, (1, 'four'
, (1, 'follow'
, (1, 'fintech'
, (1, 'financing'
, (1, 'fences'
, (1, 'experiences'
, (1, 'expectations'
, (1, 'expands'
, (1, 'expanding'
, (1, 'existing'
, (1, 'exciting'
, (1, 'every'
, (1, 'ever'
, (1, 'esports'
, (1, 'entrepreneurs'
, (1, 'enterprise'
, (1, 'enabled'
, (1, 'enable'
, (1, 'embracing'
, (1, 'economic'
, (1, 'eConomy'
, (1, 'duke'
, (1, 'draws'
, (1, 'download'
, (1, 'done'
, (1, 'digitalisation'
, (1, 'digit'
, (1, 'devices'
, (1, 'delivery'
, (1, 'delivered'
, (1, 'day'
, (1, 'cyber'
, (1, 'customer'
, (1, 'current'
, (1, 'cultivate'
, (1, 'critical'
, (1, 'craze'
, (1, 'courier'
, (1, 'country'
, (1, 'council'
, (1, 'copy'
, (1, 'content'
, (1, 'contacting'
, (1, 'consumers'
, (1, 'connectivity'
, (1, 'completed'
, (1, 'comparison'
, (1, 'compared'
, (1, 'chief'
, (1, 'cases'
, (1, 'capacity'
, (1, 'capability'
, (1, 'capabilities'
, (1, 'can'
