[(20, 'News'
, (18, 'the'
, (15, 'to'
, (12, 'warrants'
, (12, 'for'
, (12, 'Manage'
, (11, 'and'
, (9, 'free'
, (9, '2021'
, (8, 'Food'
, (7, 'on'
, (7, 'new'
, (7, 'issue'
, (7, 'in'
, (7, 'The'
, (7, 'Tech'
, (7, 'GDEX'
, (6, 'shares'
, (6, 'Star'
, (6, 'Markets'
, (6, 'Apr'
, (5, 'said'
, (5, 'of'
, (5, 'it'
, (5, 'Other'
, (5, 'Metro'
, (5, 'In'
, (5, 'Corporate'
, (5, 'Business'
, (4, 'with'
, (4, 'will'
, (4, 'up'
, (4, 'this'
, (4, 's'
, (4, 'proposed'
, (4, 'its'
, (4, 'is'
, (4, 'You'
, (4, 'Vouchers'
, (4, 'Sports'
, (4, 'Sport'
, (4, 'Out'
, (4, 'Market'
, (4, 'Log'
, (4, 'Home'
, (4, 'Express'
, (4, 'Bursa'
, (4, 'Asean'
, (3, 'year'
, (3, 'while'
, (3, 'warrant'
, (3, 'tracking'
, (3, 'ties'
, (3, 'take'
, (3, 'skids'
, (3, 'shareholders'
, (3, 'regional'
, (3, 'medicine'
, (3, 'item'
, (3, 'held'
, (3, 'focus'
, (3, 'every'
, (3, 'delivery'
, (3, 'customers'
, (3, 'call'
, (3, 'bonus'
, (3, 'as'
, (3, 'an'
, (3, 'advance'
, (3, 'a'
, (3, 'What'
, (3, 'Videos'
, (3, 'Travel'
, (3, 'Subscriptions'
, (3, 'StarPlus'
, (3, 'StarPicks'
, (3, 'Report'
, (3, 'Related'
, (3, 'Quick'
, (3, 'Photos'
, (3, 'Opinion'
, (3, 'More'
, (3, 'Media'
, (3, 'MMC'
, (3, 'Living'
, (3, 'Lifestyle'
, (3, 'Kelington'
, (3, 'KLCI'
, (3, 'Jun'
, (3, 'Info'
, (3, 'IPO'
, (3, 'Health'
, (3, 'GDex'
, (3, 'For'
, (3, 'FAQs'
, (3, 'Education'
, (3, 'DOC2US'
, (3, 'Classifieds'
, (3, 'Alpro'
, (3, '13'
, (3, '07'
, (3, '04'
, (2, 'were'
, (2, 'type'
, (2, 'time'
, (2, 'reward'
, (2, 'proposes'
, (2, 'pandemic'
, (2, 'or'
, (2, 'opportune'
, (2, 'network'
, (2, 'navigation'
, (2, 'more'
, (2, 'mandatory'
, (2, 'majority'
, (2, 'investments'
, (2, 'investment'
, (2, 'further'
, (2, 'field'
, (2, 'during'
, (2, 'due'
