[(26, 'to')
, (20, 'you')
, (19, 'the')
, (19, 'and')
, (12, 'Pos')
, (11, 'e')
, (11, 'consignment')
, (9, 'on')
, (9, 'can')
, (8, '6')
, (7, 'for')
, (7, '2021')
, (6, 'your')
, (6, 'that')
, (6, 's')
, (6, 'is')
, (6, 'in')
, (5, 'now')
, (5, 'notes')
, (5, 'a')
, (5, 'Wong')
, (5, 'Skip')
, (5, 'Mobile')
, (5, 'Malaysia')
, (5, 'Laju')
, (5, 'Alexander')
, (4, 'with')
, (4, 'via')
, (4, 'items')
, (4, 'get')
, (4, 'app')
, (4, 'SoyaCincau')
, (4, 'News')
, (4, '19')
, (3, 'will')
, (3, 'which')
, (3, 'when')
, (3, 'up')
, (3, 'save')
, (3, 're')
, (3, 'print')
, (3, 'of')
, (3, 'note')
, (3, 'new')
, (3, 'just')
, (3, 'it')
, (3, 'feature')
, (3, 'easier')
, (3, 'be')
, (3, 'at')
, (3, 'are')
, (3, 'allows')
, (3, 'Time')
, (3, 'The')
, (3, 'Pro')
, (3, 'Life')
, (3, 'Digital')
, (3, 'Deals')
, (3, 'Celcom')
, (3, '3')
, (3, '12')
, (3, '000')
, (2, '')
, (2, 'won')
, (2, 'use')
, (2, 'today')
, (2, 'there')
, (2, 'tech')
, (2, 't')
, (2, 'supported')
, (2, 'so')
, (2, 'same')
, (2, 'products')
, (2, 'primary')
, (2, 'post')
, (2, 'parcel')
, (2, 'page')
, (2, 'package')
, (2, 'out')
, (2, 'our')
, (2, 'or')
, (2, 'only')
, (2, 'online')
, (2, 'office')
, (2, 'need')
, (2, 'nearest')
, (2, 'navigation')
, (2, 'make')
, (2, 'info')
, (2, 'inaccessible')
, (2, 'if')
, (2, 'enter')
, (2, 'eWallet')
, (2, 'during')
, (2, 'deliveries')
, (2, 'deaths')
, (2, 'deals')
, (2, 'create')
, (2, 'content')
, (2, 'com')
, (2, 'code')
, (2, 'cases')
, (2, 'available')
, (2, 'as')
, (2, 'appears')
, (2, 'an')
, (2, 'also')
, (2, 'ads')
, (2, 'addresses')
, (2, 'active')
, (2, 'Z')
, (2, 'Yes')
, (2, 'Wearables')
, (2, 'Video')
, (2, 'Vaccine')
, (2, 'Vaccinations')
, (2, 'Unifi')
, (2, 'UPDATE')
, (2, 'U')
, (2, 'To')
, (2, 'Telco')
, (2, 'Tech')
, (2, 'Store')
, (2, 'ShopeePay')
, (2, 'Shopee')
, (2, 'Reviews')
, (2, 'Phase')
, (2, 'Note')
, (2, 'Maxis')
, (2, 'Lazada')
, (2, 'Impressions')
, (2, 'Hands')
, (2, 'Google')
, (2, 'For')
, (2, 'First')
, (2, 'Feb')
, (2, 'Facebook')
, (2, 'Drones')
, (2, 'Digi')
, (2, 'Computers')
, (2, 'Completed')
, (2, 'Comparisons')
, (2, 'Cars')
, (2, 'Cameras')
, (2, 'COVID')
, (2, 'By')
, (2, 'Blog')
, (2, 'Best')
, (2, 'August')
, (2, 'Audio')
, (2, 'Apple')
, (2, 'After')
, (2, '85')
, (2, '7')
, (2, '607')
, (2, '5')
, (2, '452')
, (2, '2020')
, (2, '109')
, (2, '10')
, (2, '1')
, (2, '0')
, (2, '')
, (1, 'weight')
, (1, 'wants')
, (1, 'want')
, (1, 'visit')
, (1, 'virtual')
, (1, 'vaccine')
, (1, 'vaccinated')
, (1, 'useful')
, (1, 'updateHuawei')
, (1, 'traffic')
, (1, 'tracked')
, (1, 'track')
, (1, 'trace')
, (1, 'time')
, (1, 'this')
, (1, 'then')
, (1, 'them')
, (1, 'technology')
, (1, 'tap')
, (1, 'suspendedSamsung')
, (1, 'supports')
, (1, 'such')
, (1, 'straight')
, (1, 'starting')
, (1, 'started')
, (1, 'stage')
, (1, 'spelling')
, (1, 'social')
, (1, 'sidebar')
, (1, 'shipping')
, (1, 'sender')
, (1, 'send')
, (1, 'selected')
, (1, 'select')
, (1, 'secondary')
, (1, 'scanner')
, (1, 'scan')
, (1, 'saleLive')
, (1, 'saleBy')
, (1, 'required')
, (1, 'repeated')
, (1, 'registration')
, (1, 'reduce')
, (1, 'receiver')
, (1, 'provide')
, (1, 'printer')
, (1, 'potential')
