Stop Words List:
['to', 'from', 'if', 'is', 'to', 'from', 'if', 'is', 'has', 'been', 'to', 'from', 'which', 'if', 'the', 'is', 'to', 'the', 'of', 'in', 'have', 'up', 'in', 'the', 'to', 'has', 'been', 'to', 'from', 'which', 'if', 'the', 'is', 'to', 'the', 'of', 'in', 'have', 'up', 'in', 'the', 'to', 'to', 'from', 'if', 'is', 'from', 'to', 'from', 'to', 'of', 'are', 'to', 'from', 'if', 'is', 'to', 'from', 'if', 'is', 'at', 'in', 'have', 'up', 'in', 'to', 'the', 'of', 'has', 'been', 'to', 'from', 'which', 'if', 'the', 'is', 'to', 'the', 'of', 'in', 'have', 'up', 'in', 'the', 'to', 'the', 'of', 'to', 'the', 'have', 'their', 'to', 'the', 'a', 'in', 'in', 'the', 'of', 'or', 'of', 'a', 'of', 'a', 'by', 'an', 'of', 'and', 'that', 'the', 'by', 'on', 'in', 'of', 'the', 'was', 'in', 'a', 'a', 'of', 'have', 'to', 'which', 'has', 'been', 'in', 'with', 'the', 'of', 'its', 'the', 'be', 'the', 'of', 'to', 'with', 'is', 'to', 'the', 'at', 'that', 'with', 'a', 'of', 'above', 'has', 'the', 'that', 'this', 'the', 'of', 'a', 'in', 'and', 'the', 'of', 'in', 'a', 'is', 'the', 'for', 'an', 'in', 'to', 'the', 'at', 'a', 'of', 'to', 'the', 'of', 'other', 'the', 'that', 'other', 'such', 'as', 'and', 'as', 'a', 'in', 'the', 'to', 'as', 'these', 'to', 'when', 'for', 'for', 'on', 'on', 'to', 'our', 'and', 'to', 'our', 'by', 'all', 'to', 'from', 'if', 'is', 'in', 'in', 'if']
Total word counts for stopwords: 204

Words count/frequency for the text in the article:
[(22, 'the')
, (19, 'to')
, (17, 'of')
, (13, 'in')
, (9, 'a')
, (9, 'Gdex')
, (7, 'online')
, (6, 'is')
, (6, '2020')
, (5, 'still')
, (5, 'purchasing')
, (5, 'per')
, (5, 'lifted')
, (5, 'CMCO')
, (4, 'year')
, (4, 'that')
, (4, 's')
, (4, 'on')
, (4, 'if')
, (4, 'have')
, (4, 'from')
, (4, 'cent')
, (4, 'benefit')
, (4, 'at')
, (4, 'and')
, (4, 'MIDF')
, (3, 'with')
, (3, 'research')
, (3, 'late')
, (3, 'has')
, (3, 'for')
, (3, 'as')
, (3, 'Twitter')
, (3, 'Research')
, (3, 'MCO')
, (3, 'Facebook')
, (3, 'Business')
, (3, 'Bhd')
, (2, 'y')
, (2, 'will')
, (2, 'which')
, (2, 'us')
, (2, 'up')
, (2, 'stake')
, (2, 'sorting')
, (2, 'remain')
, (2, 'picked')
, (2, 'our')
, (2, 'other')
, (2, 'operations')
, (2, 'high')
, (2, 'gradually')
, (2, 'fold')
, (2, 'even')
, (2, 'enabling')
, (2, 'due')
, (2, 'deliveries')
, (2, 'continue')
, (2, 'clear')
, (2, 'chain')
, (2, 'by')
, (2, 'been')
, (2, 'backlog')
, (2, 'arm')
, (2, 'an')
, (2, 'acquisition')
, (2, 'Us')
, (2, 'Subscribe')
, (2, 'March')
, (2, 'Home')
, (2, 'Express')
, (2, 'China')
, (2, '7')
, (2, '12')
, (2, '')
, (1, 'years')
, (1, 'when')
, (1, 'was')
, (1, 'volumes')
, (1, 'volume')
, (1, 'view')
, (1, 'various')
, (1, 'valuation')
, (1, 'two')
, (1, 'trending')
, (1, 'trailing')
, (1, 'towards')
, (1, 'told')
, (1, 'three')
, (1, 'threat')
, (1, 'this')
, (1, 'these')
, (1, 'their')
, (1, 'tendency')
, (1, 'technology')
, (1, 'surged')
, (1, 'supported')
, (1, 'supply')
, (1, 'such')
, (1, 'study')
, (1, 'stretched')
, (1, 'strategically')
, (1, 'spending')
, (1, 'solutions')
, (1, 'social')
, (1, 'since')
, (1, 'shifted')
, (1, 'sheet')
, (1, 'saw')
